method,budget,trial,f1,seconds
EXPF,200,6,0.6522399475733518,0.07940888404846191
ASTRA_AGF,5,7,0.6492366894677736,0.6854791641235352
Coordinate_RF,5,7,0.6495130223029942,0.6805787086486816
EXP010,5,7,0.6189993794468657,0.016379833221435547
EXPF,5,7,0.5999408861491635,0.04923367500305176
ASTRA_AGF,25,7,0.6844446121491801,0.7849299907684326
Coordinate_RF,25,7,0.6886272441299561,0.8756897449493408
EXP010,25,7,0.6202276550307658,0.022793054580688477
EXPF,25,7,0.6471448363115836,0.0637962818145752
ASTRA_AGF,50,7,0.7049448532086073,0.811368465423584
Coordinate_RF,50,7,0.7064123989301128,0.81986403465271
EXP010,50,7,0.6162370100713368,0.026057958602905273
EXPF,50,7,0.6486557094746848,0.07490396499633789
ASTRA_AGF,100,7,0.7115620611045155,0.8936948776245117
Coordinate_RF,100,7,0.7293061018559388,0.8700742721557617
EXP010,100,7,0.6216678485197344,0.023824691772460938
EXPF,100,7,0.6648782056315954,0.09397602081298828
ASTRA_AGF,200,7,0.7342442612047575,1.1562952995300293
Coordinate_RF,200,7,0.7493211761511336,1.1904330253601074
EXP010,200,7,0.6178527314824829,0.024852275848388672
EXPF,200,7,0.6550548666357617,0.08873128890991211
ASTRA_AGF,5,8,0.6637702140357857,0.669891357421875
Coordinate_RF,5,8,0.6655600030765869,0.673851728439331
EXP010,5,8,0.5913945851968139,0.030045270919799805
EXPF,5,8,0.5529937916476455,0.05998539924621582
ASTRA_AGF,25,8,0.6873847640643236,0.8131964206695557
Coordinate_RF,25,8,0.6905189227128766,0.7850031852722168
EXP010,25,8,0.5926900151018578,0.025612831115722656
EXPF,25,8,0.6196205189461562,0.08982729911804199
ASTRA_AGF,50,8,0.7027862179940447,0.9125359058380127
Coordinate_RF,50,8,0.7024247643281099,0.8650474548339844
EXP010,50,8,0.6152496770930811,0.026912927627563477
EXPF,50,8,0.6519592337609565,0.10120368003845215
ASTRA_AGF,100,8,0.7142062472427525,0.9526984691619873
Coordinate_RF,100,8,0.7268998854487376,0.9163603782653809
EXP010,100,8,0.6215573730824491,0.03771257400512695
EXPF,100,8,0.6635052682193024,0.11097240447998047
ASTRA_AGF,200,8,0.7406695668501944,1.118532657623291
Coordinate_RF,200,8,0.7498699972106952,1.1942360401153564
EXP010,200,8,0.6249425229545107,0.0430757999420166
EXPF,200,8,0.6623236448636408,0.0952916145324707
ASTRA_AGF,5,9,0.6555795823599819,0.7022123336791992
Coordinate_RF,5,9,0.6537428228560351,0.7091028690338135
EXP010,5,9,0.590185826749358,0.021842002868652344
EXPF,5,9,0.5735019432958492,0.06998753547668457
ASTRA_AGF,25,9,0.6823951067289253,0.7953188419342041
Coordinate_RF,25,9,0.6867365860617688,0.8146600723266602
EXP010,25,9,0.6124205656929667,0.03184175491333008
EXPF,25,9,0.6415675070842543,0.09750556945800781
ASTRA_AGF,50,9,0.6751560935895216,0.9235680103302002
Coordinate_RF,50,9,0.689040126088985,0.9285464286804199
EXP010,50,9,0.6114065064601117,0.03755354881286621
EXPF,50,9,0.6413220511224745,0.09804105758666992
ASTRA_AGF,100,9,0.7062650232012908,0.9156415462493896
Coordinate_RF,100,9,0.7186232850666094,0.9160823822021484
EXP010,100,9,0.6105131813516441,0.03173494338989258
EXPF,100,9,0.6448093947404467,0.10812020301818848
ASTRA_AGF,200,9,0.7317853212875804,1.137193202972412
Coordinate_RF,200,9,0.7544585671333869,1.1337697505950928
EXP010,200,9,0.6135529651134735,0.03567171096801758
EXPF,200,9,0.6528608563761175,0.09048986434936523
ASTRA_AGF,5,10,0.6593904657597857,0.7122445106506348
Coordinate_RF,5,10,0.6612628693409469,0.6604418754577637
EXP010,5,10,0.5271590953182037,0.02037334442138672
EXPF,5,10,0.5262505600850127,0.047847747802734375
ASTRA_AGF,25,10,0.6904099094782773,0.857020378112793
Coordinate_RF,25,10,0.6994430932651524,0.7776386737823486
EXP010,25,10,0.6132220175603933,0.0389096736907959
EXPF,25,10,0.648183021246778,0.08129549026489258
ASTRA_AGF,50,10,0.6981265803833276,0.814633846282959
Coordinate_RF,50,10,0.707114651425455,0.854733943939209
EXP010,50,10,0.6097352561617356,0.02343130111694336
EXPF,50,10,0.6473701271540577,0.06898927688598633
ASTRA_AGF,100,10,0.7216718003639122,0.972111701965332
Coordinate_RF,100,10,0.7364047102420327,0.9354095458984375
EXP010,100,10,0.6225208313112979,0.020721912384033203
EXPF,100,10,0.6614868540173453,0.07264137268066406
ASTRA_AGF,200,10,0.7352017062298264,1.0657429695129395
Coordinate_RF,200,10,0.7497975910657853,1.0368402004241943
EXP010,200,10,0.6185569791732834,0.03180098533630371
